Subkey,Acc,Acc_Norm
custom|arc:challenge|0,0.299,0.318
custom|arc:easy|0,0.662,0.643
custom|commonsense_qa|0,0.371,0.336
custom|hellaswag|0,0.392,0.471
custom|mmlu:abstract_algebra|0,0.23,0.24
custom|mmlu:anatomy|0,0.32592592592592595,0.34814814814814815
custom|mmlu:astronomy|0,0.3157894736842105,0.4276315789473684
custom|mmlu:business_ethics|0,0.52,0.41
custom|mmlu:clinical_knowledge|0,0.2792452830188679,0.36981132075471695
custom|mmlu:college_biology|0,0.3611111111111111,0.3541666666666667
custom|mmlu:college_chemistry|0,0.25,0.26
custom|mmlu:college_computer_science|0,0.25,0.23
custom|mmlu:college_mathematics|0,0.14,0.22
custom|mmlu:college_medicine|0,0.28901734104046245,0.28901734104046245
custom|mmlu:college_physics|0,0.13725490196078433,0.14705882352941177
custom|mmlu:computer_security|0,0.34,0.39
custom|mmlu:conceptual_physics|0,0.37872340425531914,0.31063829787234043
custom|mmlu:econometrics|0,0.20175438596491227,0.2631578947368421
custom|mmlu:electrical_engineering|0,0.25517241379310346,0.3103448275862069
custom|mmlu:elementary_mathematics|0,0.25396825396825395,0.2619047619047619
custom|mmlu:formal_logic|0,0.2698412698412698,0.2698412698412698
custom|mmlu:global_facts|0,0.33,0.31
custom|mmlu:high_school_biology|0,0.33225806451612905,0.3935483870967742
custom|mmlu:high_school_chemistry|0,0.21182266009852216,0.26108374384236455
custom|mmlu:high_school_computer_science|0,0.22,0.27
custom|mmlu:high_school_european_history|0,0.28484848484848485,0.46060606060606063
custom|mmlu:high_school_geography|0,0.35858585858585856,0.3888888888888889
custom|mmlu:high_school_government_and_politics|0,0.3626943005181347,0.42487046632124353
custom|mmlu:high_school_macroeconomics|0,0.27692307692307694,0.30256410256410254
custom|mmlu:high_school_mathematics|0,0.15925925925925927,0.16666666666666666
custom|mmlu:high_school_microeconomics|0,0.3319327731092437,0.39915966386554624
custom|mmlu:high_school_physics|0,0.2251655629139073,0.25165562913907286
custom|mmlu:high_school_psychology|0,0.44587155963302755,0.41651376146788993
custom|mmlu:high_school_statistics|0,0.2638888888888889,0.28703703703703703
custom|mmlu:high_school_us_history|0,0.3235294117647059,0.3480392156862745
custom|mmlu:high_school_world_history|0,0.3291139240506329,0.29957805907172996
custom|mmlu:human_aging|0,0.3811659192825112,0.35874439461883406
custom|mmlu:human_sexuality|0,0.4351145038167939,0.40458015267175573
custom|mmlu:international_law|0,0.2066115702479339,0.3305785123966942
custom|mmlu:jurisprudence|0,0.26851851851851855,0.32407407407407407
custom|mmlu:logical_fallacies|0,0.3374233128834356,0.3128834355828221
custom|mmlu:machine_learning|0,0.25,0.22321428571428573
custom|mmlu:management|0,0.3300970873786408,0.42718446601941745
custom|mmlu:marketing|0,0.4658119658119658,0.4230769230769231
custom|mmlu:medical_genetics|0,0.35,0.39
custom|mmlu:miscellaneous|0,0.4367816091954023,0.4061302681992337
custom|mmlu:moral_disputes|0,0.2658959537572254,0.24277456647398843
custom|mmlu:moral_scenarios|0,0.23798882681564246,0.27262569832402234
custom|mmlu:nutrition|0,0.27450980392156865,0.3627450980392157
custom|mmlu:philosophy|0,0.2958199356913183,0.3086816720257235
custom|mmlu:prehistory|0,0.3888888888888889,0.3271604938271605
custom|mmlu:professional_accounting|0,0.2695035460992908,0.25177304964539005
custom|mmlu:professional_law|0,0.249,0.256
custom|mmlu:professional_medicine|0,0.29411764705882354,0.33088235294117646
custom|mmlu:professional_psychology|0,0.3137254901960784,0.29411764705882354
custom|mmlu:public_relations|0,0.45454545454545453,0.2727272727272727
custom|mmlu:security_studies|0,0.3183673469387755,0.2612244897959184
custom|mmlu:sociology|0,0.2736318407960199,0.31840796019900497
custom|mmlu:us_foreign_policy|0,0.34,0.33
custom|mmlu:virology|0,0.29518072289156627,0.3192771084337349
custom|mmlu:world_religions|0,0.43859649122807015,0.5146198830409356
custom|openbookqa|0,0.234,0.366
custom|piqa|0,0.693,0.702
custom|siqa|0,0.369,0.399
custom|winogrande|0,0.543,0.533
custom|arc:_average|0,0.48050000000000004,0.48050000000000004
custom|mmlu:_average|0,0.3057016495725969,0.3218494108450571
all,0.3228922157790465,0.3402064064333578
