Subkey,Acc,Acc_Norm
custom|arc:challenge|0,0.245,0.28
custom|arc:easy|0,0.543,0.514
custom|commonsense_qa|0,0.275,0.277
custom|hellaswag|0,0.313,0.335
custom|mmlu:abstract_algebra|0,0.24,0.25
custom|mmlu:anatomy|0,0.3111111111111111,0.3333333333333333
custom|mmlu:astronomy|0,0.27631578947368424,0.35526315789473684
custom|mmlu:business_ethics|0,0.43,0.36
custom|mmlu:clinical_knowledge|0,0.25660377358490566,0.33584905660377357
custom|mmlu:college_biology|0,0.3472222222222222,0.3055555555555556
custom|mmlu:college_chemistry|0,0.19,0.2
custom|mmlu:college_computer_science|0,0.28,0.27
custom|mmlu:college_mathematics|0,0.16,0.19
custom|mmlu:college_medicine|0,0.2658959537572254,0.21965317919075145
custom|mmlu:college_physics|0,0.17647058823529413,0.19607843137254902
custom|mmlu:computer_security|0,0.22,0.33
custom|mmlu:conceptual_physics|0,0.25957446808510637,0.225531914893617
custom|mmlu:econometrics|0,0.19298245614035087,0.21929824561403508
custom|mmlu:electrical_engineering|0,0.2689655172413793,0.2896551724137931
custom|mmlu:elementary_mathematics|0,0.2328042328042328,0.21693121693121692
custom|mmlu:formal_logic|0,0.2857142857142857,0.24603174603174602
custom|mmlu:global_facts|0,0.29,0.27
custom|mmlu:high_school_biology|0,0.2806451612903226,0.3387096774193548
custom|mmlu:high_school_chemistry|0,0.1724137931034483,0.23645320197044334
custom|mmlu:high_school_computer_science|0,0.21,0.27
custom|mmlu:high_school_european_history|0,0.2545454545454545,0.3696969696969697
custom|mmlu:high_school_geography|0,0.31313131313131315,0.3787878787878788
custom|mmlu:high_school_government_and_politics|0,0.3005181347150259,0.3316062176165803
custom|mmlu:high_school_macroeconomics|0,0.2794871794871795,0.2846153846153846
custom|mmlu:high_school_mathematics|0,0.15185185185185185,0.2222222222222222
custom|mmlu:high_school_microeconomics|0,0.2689075630252101,0.3445378151260504
custom|mmlu:high_school_physics|0,0.2913907284768212,0.2781456953642384
custom|mmlu:high_school_psychology|0,0.3412844036697248,0.3247706422018349
custom|mmlu:high_school_statistics|0,0.27314814814814814,0.2916666666666667
custom|mmlu:high_school_us_history|0,0.27941176470588236,0.3137254901960784
custom|mmlu:high_school_world_history|0,0.28270042194092826,0.2742616033755274
custom|mmlu:human_aging|0,0.35874439461883406,0.2645739910313901
custom|mmlu:human_sexuality|0,0.3816793893129771,0.31297709923664124
custom|mmlu:international_law|0,0.1652892561983471,0.2892561983471074
custom|mmlu:jurisprudence|0,0.16666666666666666,0.28703703703703703
custom|mmlu:logical_fallacies|0,0.25766871165644173,0.3128834355828221
custom|mmlu:machine_learning|0,0.2767857142857143,0.21428571428571427
custom|mmlu:management|0,0.27184466019417475,0.33980582524271846
custom|mmlu:marketing|0,0.3333333333333333,0.3247863247863248
custom|mmlu:medical_genetics|0,0.28,0.32
custom|mmlu:miscellaneous|0,0.3333333333333333,0.3243933588761175
custom|mmlu:moral_disputes|0,0.23121387283236994,0.20520231213872833
custom|mmlu:moral_scenarios|0,0.23798882681564246,0.2770949720670391
custom|mmlu:nutrition|0,0.26143790849673204,0.32679738562091504
custom|mmlu:philosophy|0,0.2604501607717042,0.28938906752411575
custom|mmlu:prehistory|0,0.3117283950617284,0.24691358024691357
custom|mmlu:professional_accounting|0,0.32269503546099293,0.28368794326241137
custom|mmlu:professional_law|0,0.251,0.267
custom|mmlu:professional_medicine|0,0.27205882352941174,0.3125
custom|mmlu:professional_psychology|0,0.2630718954248366,0.27450980392156865
custom|mmlu:public_relations|0,0.3090909090909091,0.24545454545454545
custom|mmlu:security_studies|0,0.31020408163265306,0.24897959183673468
custom|mmlu:sociology|0,0.2537313432835821,0.23880597014925373
custom|mmlu:us_foreign_policy|0,0.3,0.28
custom|mmlu:virology|0,0.2289156626506024,0.29518072289156627
custom|mmlu:world_religions|0,0.24561403508771928,0.3391812865497076
custom|openbookqa|0,0.192,0.304
custom|piqa|0,0.629,0.639
custom|siqa|0,0.364,0.389
custom|winogrande|0,0.514,0.503
custom|arc:_average|0,0.394,0.397
custom|mmlu:_average|0,0.26785338116140023,0.28408906388041605
all,0.2821945034799972,0.29898579447974943
